,Comments,Sentiment
0,ALL THE BEST ALL GATE ASPIRANTS...KEEP YOUR NEGATIVE THOUGHTS ASIDE & GIVE YOUR BEST...,Positive
1,thanks a lot sir your playlist give me a great hope to crack the gate exam❤,Positive
2,Sir rpsc programmer ki preparation start krwao🙏,Neutral
3,Thank you for giving this instruction.,Neutral
4,Thank you so much Sir ❤,Positive
5,love you so much sir ❤❤❤❤❤❤❤❤❤❤❤❤,Positive
6,Thanks for your wishes ❤💐🙏,Positive
7,"Bhaiya paper solve kijiyega live exam hone ke baad ds and ai ka❤
Aur 2025 ke liye batch kab start hoga bata dijiye",Positive
8,Thank you so much sir for motivation just before exam approaching. And also thank you so much for guiding the correct way to solve and attempt.,Positive
9,Thank you sir🙏,Neutral
10,Thanku sir❤❤,Neutral
11,sir please CSE Gate k liye bhi kuch tips deziye ya phir koi course le aaye,Neutral
12,ThankU Bhayya...❤,Neutral
13,Thank you so much sir 🙏,Positive
14,Thanku sir,Neutral
15,Thank you sir ❤,Neutral
16,Nice topic,Positive
