,Comments,Compound Score
0,ALL THE BEST ALL GATE ASPIRANTS...KEEP YOUR NEGATIVE THOUGHTS ASIDE & GIVE YOUR BEST...,0.128
1,Thank You Sir🙏,0.3612
2,thanks a lot sir your playlist give me a great hope to crack the gate exam❤,0.872
3,Sir rpsc programmer ki preparation start krwao🙏,0.0
4,Thank you for giving this instruction.,0.5994
5,Thank you so much Sir ❤,0.3612
6,love you so much sir ❤❤❤❤❤❤❤❤❤❤❤❤,0.6369
7,Thanks for your wishes ❤💐🙏,0.5423
8,"Bhaiya paper solve kijiyega live exam hone ke baad ds and ai ka❤
Aur 2025 ke liye batch kab start hoga bata dijiye",0.2023
9,Thank you so much sir for motivation just before exam approaching. And also thank you so much for guiding the correct way to solve and attempt.,0.802
10,Thank you sir🙏,0.3612
11,Thanku sir❤❤,0.0
12,sir please CSE Gate k liye bhi kuch tips deziye ya phir koi course le aaye,0.3182
13,ThankU Bhayya...❤,0.0
14,Thank you so much sir 🙏,0.3612
15,Thanku sir,0.0
16,Thank you sir ❤,0.3612
17,Nice topic,0.4215
