,Comments,Compound Score
0,Subscribe to Android Developers → https://goo.gle/AndroidDevs,0.0
1,ياخي هذا اكثر من صنع مصنعي لي كإنسان.,0.0
2,الكلام كثير وبدون توضيح 😁,0.0
3,sar please helps❤❤,0.3182
4,"It's just me, or did someone understand something more than Gemini?",0.0
5,"his name is Murat, not Murant :)",-0.357
6,"Let's be clear, you mean gambling apps.",0.3818
7,Can you please share info on Jetpack compose carousel,0.5423
8,Compose 1.6 was also released today,0.0
9,"I've watched this video with my family, and it brought us all together. Thank you!",0.4199
10,When Google AI Studio will be available in UK?,0.0
11,Why is my Android system not updating?,0.0
