,Comments,Sentiment
0,😂😂😂😂😂😂😂,Neutral
1,😂❤😍,Neutral
2,Manaara ka sat ak pic ❤❤,Neutral
3,Abba kadar : paani kisne mara tha ☠️ was epic❤😂😂,Neutral
4,Bhai Bhai asli winner toh bs Babu bhayia  the hai aur rahenge,Neutral
5,Bhai ho aap❤,Neutral
6,Bechara Aba kader pani nahi marna tha bechare par 🤣🤣🤣🤣🤣🤣,Neutral
7,System hang to let all know YouTube views show delay than likes when more people have watched..... After 48 hours views will be exactly updated but likes are accurate  second to second... Hope all doubts are clarified GOAT talent munawar bhai❤,Positive
8,Munawar farooqi fan like,Neutral
9,Kya bolte YouTube hang hoga 😂😂 manowar Bhai🔥,Neutral
10,Osm ek no ....bhut dino ke baad .... mood fresh ho gya .... wait tha 😂😂😂😂😂😂bhut acha ❤❤❤❤❤❤❤❤❤❤,Positive
11,bahot paka raha hai ......very poor jokes maaza nahi aaya....,Negative
12,hats off bhai.......love ur videos😍😍,Neutral
13,Abba kadar😂😂 idol hai Apna😂,Neutral
14,Ghost story 2 kab Aayegi😢,Neutral
15,Super Brotherrr,Positive
16,"The Legend of Abba Qader
😂",Neutral
17,Mjy smj ni aye y😅😅,Neutral
