,Comments,Compound Score
0,😮😮😮,0.0
1,❤❤❤,0.0
2,Abakadar is such a gem character..😂,0.0
3,Munawar❤,0.0
4,Bhai main fan hu tumahara lakin funny nahi hai yeh video kuch bhi dal rahe ho,0.6369
5,Woooh the wait is over now,0.0
6,Bhi last mai to roola he diya tha😢😢😢 but jad usna kaaha pani kisna phaka😅😅😅,0.0
7,😂😂😂😂😂😂😂,0.0
8,😂❤😍,0.0
9,Manaara ka sat ak pic ❤❤,0.0
10,Abba kadar : paani kisne mara tha ☠️ was epic❤😂😂,0.0
11,Bhai Bhai asli winner toh bs Babu bhayia  the hai aur rahenge,0.5859
12,Bhai ho aap❤,0.0
13,Bechara Aba kader pani nahi marna tha bechare par 🤣🤣🤣🤣🤣🤣,0.0
14,System hang to let all know YouTube views show delay than likes when more people have watched..... After 48 hours views will be exactly updated but likes are accurate  second to second... Hope all doubts are clarified GOAT talent munawar bhai❤,0.8658
15,Munawar farooqi fan like,0.5859
16,Kya bolte YouTube hang hoga 😂😂 manowar Bhai🔥,0.0
17,Osm ek no ....bhut dino ke baad .... mood fresh ho gya .... wait tha 😂😂😂😂😂😂bhut acha ❤❤❤❤❤❤❤❤❤❤,0.0258
18,bahot paka raha hai ......very poor jokes maaza nahi aaya....,-0.2732
